episode,score_cumule,score_specifique,type_score,reussite
1,1425.7000000000073,,temps,1
1,95.10000000000183,,distance,0
1,-51.7000000000001,,distance,0
1,-51.60000000000011,,distance,0
1,-51.7000000000001,,distance,0
1,-82.79999999999998,,distance,0
1,1420.3000000000075,,temps,1
1,-51.50000000000011,,distance,0
1,1425.4000000000076,,temps,1
1,-51.7000000000001,,distance,0
1,-82.79999999999998,,distance,0
1,-82.49999999999999,,distance,0
1,-51.30000000000011,,distance,0
1,266.60000000000497,,distance,0
1,-82.8,,distance,0
1,87.60000000000137,,distance,0
1,244.00000000000415,,distance,0
1,1426.9000000000078,,temps,1
1,-51.7000000000001,,distance,0
1,-82.89999999999999,,distance,0
1,94.1000000000018,,distance,0
1,-51.90000000000009,,distance,0
1,-52.100000000000094,,distance,0
1,1432.1000000000076,,temps,1
1,-51.60000000000011,,distance,0
1,95.4000000000018,,distance,0
1,-82.79999999999998,,distance,0
1,-82.89999999999999,,distance,0
1,87.40000000000157,,distance,0
1,100.40000000000202,,distance,0
1,1430.9000000000076,,temps,1
1,1426.6000000000076,,temps,1
1,1433.200000000008,,temps,1
1,-82.89999999999999,,distance,0
1,43.100000000000065,,distance,0
1,-82.5,,distance,0
1,1426.0000000000075,,temps,1
1,1430.5000000000077,,temps,1
1,1422.1000000000074,,temps,1
1,-83.1,,distance,0
1,-83.1,,distance,0
1,1428.0000000000077,,temps,1
1,-52.0000000000001,,distance,0
1,-82.5,,distance,0
1,1422.2000000000075,,temps,1
1,-51.7000000000001,,distance,0
1,-82.89999999999999,,distance,0
1,-82.19999999999999,,distance,0
1,-83.19999999999999,,distance,0
1,38.79999999999991,,distance,0
1,-83.19999999999999,,distance,0
1,-83.1,,distance,0
1,258.90000000000526,,distance,0
1,95.20000000000178,,distance,0
1,1427.200000000008,,temps,1
1,-52.0000000000001,,distance,0
1,-51.90000000000009,,distance,0,2025-05-15 12:02:32
1,-82.79999999999998,,distance,0,2025-05-15 12:06:25
1,-83.19999999999999,,distance,0,2025-05-15 12:06:32
1,-52.2000000000001,,distance,0,2025-05-15 12:06:42
1,94.90000000000175,,distance,0,2025-05-15 12:06:59
1,-82.89999999999999,,distance,0,2025-05-15 12:07:06
1,-57.20000000000005,,distance,0,2025-05-15 12:10:35
1,-81.3,,distance,0,2025-05-15 12:10:43
1,-47.800000000000146,,distance,0,2025-05-15 12:10:55
1,-160.20000000000044,,distance,0,2025-05-15 12:12:22
1,-81.69999999999999,,distance,0,2025-05-15 12:17:35
1,-56.50000000000006,,distance,0,2025-05-15 12:17:45
1,-81.69999999999999,,distance,0,2025-05-15 12:17:53
1,-59.40000000000003,,distance,0,2025-05-15 12:18:03
1,-82.5,,distance,0,2025-05-15 12:18:11
1,43.500000000000014,,distance,0,2025-05-15 12:18:28
1,33.799999999999685,,distance,0,2025-05-15 12:18:45
1,-786.4999999999998,,distance,0,2025-05-15 12:20:00
1,-89.5,,distance,0,2025-05-15 12:20:09
1,-1148.4000000000024,,distance,0,2025-05-15 12:21:04
1,-110.2,,distance,0,2025-05-15 12:25:44
1,-203,,distance,0,2025-05-15 12:25:54
1,-278,,distance,0,2025-05-15 12:30:03
1,-278,,distance,0,2025-05-15 12:32:11
1,-506.29999999999967,,distance,0,2025-05-15 12:32:40
1,-938.9000000000007,,distance,0,2025-05-15 12:34:17
1,-921.0999999999997,,distance,0,2025-05-15 12:35:24
1,-157.39999999999998,,distance,0,2025-05-15 12:39:32
1,-1006.6000000000048,,distance,0,2025-05-15 12:43:26
1,-963.5000000000011,,distance,0,2025-05-15 12:44:57
1,-705.7999999999995,,distance,0,2025-05-15 12:47:48
1,-278,,distance,0,2025-05-15 12:47:58
1,-563.3999999999995,,distance,0,2025-05-15 12:50:39
1,-692.099999999999,,distance,0,2025-05-15 12:55:51
1,-256,,distance,0,2025-05-15 12:59:45
1,-949.5000000000041,,distance,0,2025-05-15 13:06:12
1,-111.2,,distance,0,2025-05-15 13:06:21
1,-278,,distance,0,2025-05-15 13:06:31
1,-171,,distance,0,2025-05-15 14:51:44
1,-278,,distance,0,2025-05-15 14:53:24
1,-863.3000000000012,,distance,0,2025-05-15 14:54:37
1,-1739.400000000004,,distance,0,2025-05-15 15:00:20
1,-1169.1000000000022,,distance,0,2025-05-15 15:08:11
1,-960.9000000000017,,distance,0,2025-05-15 15:55:28
1,-977.2000000000006,,distance,0,2025-05-15 15:58:25
1,-759.8999999999985,,distance,0,2025-05-15 16:00:56
1,-278,,distance,0,2025-05-15 16:02:41
1,-756.3999999999995,,distance,0,2025-05-15 16:03:35
1,-237.59999999999854,,distance,0,2025-05-15 16:03:55
1,-103.6,,distance,0,2025-05-15 16:04:04
1,-1582.7000000000003,,distance,0,2025-05-15 16:05:32
1,-646.700000000006,,distance,0,2025-05-15 16:08:21
1,-165.8,,distance,0,2025-05-15 16:15:15
1,-425.7999999999979,,distance,0,2025-05-15 16:20:39
1,-585.6999999999992,,distance,0,2025-05-15 16:27:10
1,-278,,distance,0,2025-05-15 16:27:22
1,-531.1999999999994,,distance,0,2025-05-15 16:28:10
1,-1155.6000000000008,,distance,0,2025-05-15 16:29:21
1,-1354.700000000002,,distance,0,2025-05-15 16:31:12
1,-122.20000000000027,,distance,0,2025-05-15 16:37:51
1,-156.8,,distance,0,2025-05-15 16:42:04
1,-536.799999999999,,distance,0,2025-05-15 16:46:25
1,-174,,distance,0,2025-05-15 16:46:36
1,-1076.2000000000012,,distance,0,2025-05-15 16:51:24
1,-906.6999999999989,,distance,0,2025-05-15 16:55:27
1,-94.69999999999999,,distance,0,2025-05-15 16:55:38
1,-1173.2000000000037,,distance,0,2025-05-15 16:58:02
1,-672.3999999999996,,distance,0,2025-05-15 17:01:50
1,-1143.1000000000038,,distance,0,2025-05-15 17:07:05
1,-1954.2000000000078,,distance,0,2025-05-15 17:09:39
1,-960.9000000000011,,distance,0,2025-05-15 17:10:39
1,-855.4,,distance,0,2025-05-15 17:14:28
1,89.6000000000016,,distance,0,2025-05-15 17:57:04
1,-1508.800000000003,,distance,0,2025-05-15 18:23:51
1,-94.8,,distance,0,2025-05-15 18:24:04
